,name,code,watershed,city,river,area,type,location,institution,note,note2,lon,lat
4672,侯王,40928750,龙门~三门峡干流区间,三门峡市,黄河,,雨量,山西省平陆县张店乡侯王村,山西省水文水资源局,(新，55年设),d,111.2,35.0
4673,三门峡,41420050,三门峡~小浪底干流区,三门峡市,黄河,,雨量蒸发,河南省三门峡市大安(高庙)乡坝头,黄河水利委员会,,d,111.41666666666667,34.85
4674,坡头,41420500,三门峡~小浪底干流区,三门峡市,黄河,,雨量,河南省渑池县坡头乡坡头村,黄河水利委员会,,d,111.73333333333333,34.88333333333333
4675,北段村,41421400,三门峡~小浪底干流区,三门峡市,黄河,,雨量,河南省渑池县北段村乡北段村,黄河水利委员会,,d,111.83333333333333,34.983333333333334
4676,八里胡同,41422550,三门峡~小浪底干流区,洛阳,黄河,,雨量蒸发,河南省济源县下冶乡清河口村,河南省水文水资源局,,d,112.03333333333333,35.016666666666666
4683,小浪底,41423350,小浪底~花园口干流区,洛阳市,黄河,,雨量,河南省孟津县马屯乡小浪底村,河南省水文水资源局,,d,112.06666666666666,34.93333333333333
4684,孟津,41423450,小浪底~花园口干流区,洛阳市,黄河,,雨量蒸发,河南省孟津县白鹤乡铁谢村,河南省水文水资源局,,d,112.55,34.88333333333333
4792,夹河滩,41425650,花园口以下干流区间,新乡,黄河,,雨量,河南省封丘县李庄乡贯台村,黄河水利委员会,(新，47年设),d,114.7,34.916666666666664
4794,三门峡,41420050,三门峡~小浪底干流区,三门峡,黄河,,雨量蒸发,河南省三门峡市大安(高庙)乡坝头,黄河水利委员会,,d,111.41666666666667,34.85
4795,八里胡同,41422550,三门峡~小浪底干流区,洛阳,黄河,,雨量蒸发,河南省济源县下冶乡清河口村,河南省水文水资源局,,d,112.03333333333333,35.016666666666666
4796,孟津,41423450,小浪底~花园口干流区,洛阳市,黄河,,雨量蒸发,河南省孟津县白鹤乡铁谢村,河南省水文水资源局,,d,112.55,34.88333333333333
5079,银山,41524250,花园口以下干流区间,泰安,黄河,,雨量,山东东平县银山镇银山村,山东省水文局,,d,116.13333333333334,36.05
5080,友林,41820150,花园口以下干流区间,东营,黄河,,雨量,山东垦利县新安乡友林村,山东省水文局,,d,118.83333333333333,36.7
5085,西双河,41820050,花园口以下干流区间,东营,黄河,,雨量,山东垦利县垦利镇西双河,山东省水文局,,d,118.53333333333333,36.583333333333336
5825,西双河,41820050,小清河,东营市,黄河,,降水,山东省垦利县垦利镇西双河,山东省水文局,E,E,118.53333333333333,37.583333333333336
5826,永安镇,41820100,小清河,东营市,黄河,,降水,山东省垦利县永安乡五村,山东省水文局,E,E,118.73333333333333,37.56666666666667
