附表2-1-4省(自治区、直辖市)选用水文监测站,,,,,,,,,,,,,,,,,
测站(井)名称,代码,所在,,,集水面积(km2),监测项目*1,地址(县、乡、村),地理座标,,,,,,主管机构,备注*2,,
,,水资源三级区,地级行政区,河流,,,,东经,,,北纬,,,,,,
,,,,,,,,。,′,″,。,′,″,,,,
加格达奇,11200230,尼尔基以上,加格达奇,甘河,9575,水位、流量、降水,大兴安岭地区加格达奇区,124,07,01,50,24,16,黑龙江省水文局,,A,
库尔滨,11220350,尼尔基以上,呼伦贝尔市,库尔滨河,,降水,鄂伦春自治旗甘河镇库尔滨林场,122,57,,50,51,,内蒙古水文总局,,A,
柳家屯,11220490,尼尔基以上,呼伦贝尔市,甘河,,降水、蒸发,莫力达瓦达斡尔族自治旗额尔和乡柳家屯村,125,5,,49,15,,内蒙古水文总局,,A,
柳家屯(二),11200260,尼尔基以上,呼伦贝尔市,甘河,19665,水位、径流,莫旗额尔和乡柳家屯,125,5,,49,15,,内蒙古水文总局,,A,
乌拉库,11220400,尼尔基以上,呼伦贝尔市,阿里河,,降水,鄂伦春自治旗阿里河镇乌拉库林场,123,31,,51,2,,内蒙古水文总局,,A,
乌里特,11220340,尼尔基以上,呼伦贝尔市,乌里特河,,降水,鄂伦春自治旗甘河镇乌里特林场,123,2,,51,9,,内蒙古水文总局,,A,
兴阿,11220420,尼尔基以上,呼伦贝尔市,阿里河,,降水,鄂伦春自治旗阿里河镇兴阿林场,123,41,,50,43,,内蒙古水文总局,,A,
银阿,11220360,尼尔基以上,呼伦贝尔市,克一河,,降水,鄂伦春自治旗克一河镇银阿林场,122,19,,50,39,,内蒙古水文总局,,A,
阿彦浅(二),11200071,尼尔基以上,呼伦贝尔市,嫩江,65439,水位、径流、降水、蒸发,莫旗登特科乡阿彦浅村,124,38,,48,46,,内蒙古水文总局,,A,
白云,11220280,尼尔基以上,黑河市,科洛河,,降水,黑龙江省嫩江县白云乡,126,14,21,49,09,14,黑龙江省水文局,,A,
哈尔通,11220190,尼尔基以上,黑河市,门鲁河,,降水,黑龙江省嫩江县座虎滩乡,125,53,31,49,40,49,黑龙江省水文局,,A,
罕达气,11220200,尼尔基以上,黑河市,泥鳅河,,降水,黑龙江省黑河市罕达气乡,126,12,09,50,08,50,黑龙江省水文局,,A,
霍龙门,11200200,尼尔基以上,嫩江县,泥鳅河,2151,水位、流量、降水、蒸发,嫩江县霍龙门乡,125,45,11,49,51,35,黑龙江省水文局,,A,
科后,11200210,尼尔基以上,嫩江县,科洛河,7310,水位、流量、降水、蒸发,嫩江县科洛乡,125,43,16,49,22,43,黑龙江省水文局,,A,
库漠屯,11200050,尼尔基以上,黑河市,嫩江,32229,水位、流量、降水、蒸发,嫩江县联兴乡,125,16,21,49,27,08,黑龙江省水文局,,A,
龙门,11220250,尼尔基以上,黑河市,科洛河,,降水,黑龙江省德都县龙门农场,126,54,30,48,55,11,黑龙江省水文局,,A,
门鲁河,11220230,尼尔基以上,黑河市,门鲁河,,降水,黑龙江省嫩江县门鲁河乡,125,35,19,49,40,27,黑龙江省水文局,,A,
嫩北,11220325,尼尔基以上,黑河市,嫩江,,降水,黑龙江省嫩江县嫩北农场,125,48,17,49,18,19,黑龙江省气象局,,A,
嫩江,11220330,尼尔基以上,黑河市,嫩江,,降水、蒸发,黑龙江省嫩江县嫩江镇,125,13,13,49,11,31,黑龙江省水文局,,A,
尼尔基,11200082,尼尔基以上,呼伦贝尔市,嫩江,,水位、径流、降水,莫旗尼尔基镇,124,32,,48,29,,内蒙古水文总局,,A,
七星泡,11220290,尼尔基以上,黑河市,大岔巴气河,,降水,黑龙江省嫩江县七星泡农场,126,01,07,49,03,09,黑龙江省水文局,,A,
塔溪,11220300,尼尔基以上,黑河市,沐河,,降水,黑龙江省嫩江县塔溪乡,126,14,17,49,30,25,黑龙江省水文局,,A,
腾克,11220510,尼尔基以上,呼伦贝尔市,霍日里河,,降水,莫力达瓦达斡尔族自治旗腾克乡,124,44,,49,1,,内蒙古水文总局,,A,
北荣,11200300,尼尔基至江桥,黑河市,讷谟尔河,3982,水位、流量、降水、蒸发,黑龙江省德都县81367部队农场,126,47,07,48,32,11,黑龙江省水文局,,A,
查哈阳,11220705,尼尔基至江桥,黑河市,讷谟尔河,,降水,黑龙江省甘南县查哈阳农场,125,18,00,48,26,00,黑龙江省气象局,,A,
