附表2-1-4省(自治区、直辖市)选用水文监测站,,,,,,,,,,,,,,,,,
测站(井)名称,代码,所在,,,集水面积(km2),监测项目*1,地址(县、乡、村),地理座标,,,,,,主管机构,备注*2,,
,,水资源三级区,地级行政区,河流,,,,东经,,,北纬,,,,,,
,,,,,,,,。,′,″,。,′,″,,,,
渡口,30933450,子牙河山区, 邢台,渡口川,,降水,沙河市渡口乡渡口村                              ,114,10,,36,55,,河北省水文局,,c,
獐么,30934800,子牙河山区, 邢台,泜河,,降水,内邱县獐么乡獐么村                              ,114,13,,37,22,,河北省水文局,,c,
西台峪,30934950,子牙河山区, 邢台,泜河,,降水,临城县石城乡西台峪村                            ,114,17,,37,25,,河北省水文局,,c,
郝庄,30935050,子牙河山区, 邢台,泜河,,降水,临城县郝庄乡郝庄                                ,114,14,,37,30,,河北省水文局,,c,
临城水库,30935100,子牙河山区, 邢台,泜河,,降水,临城县西竖乡西竖村                              ,114,24,,37,27,,河北省水文局,,c,
软枣会,30935600,子牙河山区, 石家庄,槐河,,降水,赞皇县软枣会乡软枣会村                          ,114,03,,37,29,,河北省水文局,,c,
黄北坪,30935650,子牙河山区, 石家庄,槐河,,降水,赞皇县黄北坪乡黄北坪村                          ,114,10,,37,36,,河北省水文局,,c,
赞皇,30935750,子牙河山区, 石家庄,槐河,,降水,赞皇县城关镇                                    ,114,23,,37,39,,河北省气象局,,c,
昔阳,30928500,子牙河山区,晋中  ,,,降水,,,,,,,,山西省水文局,,c,
桥儿沟,30920050,子牙河山区,忻州,滹沱河,,降水,繁峙县桥儿沟村,113,56,,39,16,,山西省水文局,,c,
大营,30920150,子牙河山区,忻州,滹沱河,,降水,繁峙县大营,113,45,,39,17,,山西省水文局,,c,
太平沟,30920500,子牙河山区,忻州,羊眼河,,降水,繁峙县太平沟村,113,39,,39,05,,山西省水文局,,c,
上永兴,30920650,子牙河山区,忻州,滹沱河,,降水,繁峙县上永兴村,113,26,,39,13,,山西省水文局,,c,
繁峙,30920750,子牙河山区,忻州,滹沱河,,降水,繁峙县城关,113,16,,39,12,,山西省气象局,,c,
茶铺,30920800,子牙河山区,忻州,峨河,,降水,繁峙县茶铺,113,26,,39,39,,山西省水文局,,c,
分水岭,30920950,子牙河山区,忻州,窑子河,,降水,代县分水岭村,113,07,,39,17,,山西省水文局,,c,
辛庄,30921200,子牙河山区,忻州,峪口河,,降水,代县辛庄,113,14,,38,56,,山西省水文局,,c,
王家会,30921450,子牙河山区,忻州,峪口河,,降水,代县王家会,113,05,,39,02,,山西省水文局,,c,
雁门关,30921500,子牙河山区,忻州,关沟河,,降水,代县雁门关村,112,52,,39,11,,山西省水文局,,c,
代县,30921550,子牙河山区,忻州,滹沱河,,降水,代县五里村,112,57,,39,04,,山西省水文局,,c,
高太庄,30921600,子牙河山区,忻州,中解河,,降水,代县高太庄,113,02,,38,52,,山西省水文局,,c,
新庄,30921750,子牙河山区,忻州,长乐河,,降水,原平县新庄,112,56,,38,47,,山西省水文局,,c,
崞阳,30921850,子牙河山区,忻州,滹沱河,,降水,原平县崞阳镇,112,45,,38,53,,山西省水文局,,c,
牛食窑,30921900,子牙河山区,忻州,阳武河,,降水,原平县牛食窑村,112,37,,39,04,,山西省水文局,,c,
长梁沟,30922100,子牙河山区,忻州,贾庄河,,降水,原平县长梁沟村,112,21,,38,50,,山西省水文局,,c,
芦庄,30922250,子牙河山区,忻州,阳武河,,降水,原平县芦庄,112,30,,38,54,,山西省水文局,,c,
原平,30922400,子牙河山区,忻州,沙河,,降水,原平县文殊庄,112,42,,38,45,,山西省气象局,,c,
界河铺,30922500,子牙河山区,忻州,滹沱河,,降水,原平县界河铺,112,44,,38,38,,山西省水文局,,c,
后河堡,30922650,子牙河山区,忻州,云中河,,降水,忻州市后河堡,112,24,,38,31,,山西省水文局,,c,
米家寨水库,30923000,子牙河山区,忻州,云中河,,降水,忻州市米家寨,112,32,,38,34,,山西省水文局,,c,
牛尾庄,30923200,子牙河山区,忻州,牧马河,,降水,忻州市牛尾庄,112,21,,38,19,,山西省水文局,,c,
三交,30923400,子牙河山区,忻州,牧马河,,降水,忻州市三交村,112,30,,38,23,,山西省水文局,,c,
豆罗桥,30923500,子牙河山区,忻州,牧马河,,降水,忻州市宴村,112,42,,38,19,,山西省水文局,,c,
忻州,30923550,子牙河山区,忻州,牧马河,,降水,忻州市城关,112,43,,38,25,,山西省气象局,,c,
肖家山,30923750,子牙河山区,忻州,牧马河,,降水,忻州市肖家山村,112,55,,38,21,,山西省水文局,,c,
宏道,30923900,子牙河山区,忻州,同河,,降水,定襄县宏道村,113,01,,38,37,,山西省水文局,,c,
济胜桥,30923950,子牙河山区,忻州,滹沱河,,降水,五台县瑶池村,113,06,,38,38,,山西省水文局,,c,
五台山,30924150,子牙河山区,忻州,清水河,,降水,五台县中台顶,113,32,,39,02,,山西省气象局,,c,
台怀,30924200,子牙河山区,忻州,清水河,,降水,五台县台怀镇,113,35,,39,39,,山西省水文局,,c,
门限石,30924400,子牙河山区,忻州,清水河,,降水,五台县门限石村,113,42,,38,47,,山西省水文局,,c,
灵境,30924450,子牙河山区,忻州,宫寺沟,,降水,五台县灵境村,113,30,,38,53,,山西省水文局,,c,
马家庄,30924550,子牙河山区,忻州,屋腔河,,降水,五台县马家庄,113,40,,38,41,,山西省水文局,,c,
豆村,30924700,子牙河山区,忻州,泗阳河,,降水,五台县豆村,113,22,,38,50,,山西省气象局,,c,
河口,30924800,子牙河山区,忻州,清水河,,降水,五台县河口村,113,27,,38,42,,山西省水文局,,c,
五台,30924900,子牙河山区,忻州,滤泗河,,降水,五台县沟南村,113,15,,38,43,,山西省水文局,,c,
耿家会,30925050,子牙河山区,忻州,清水河,,降水,五台县耿家会村,113,19,,38,31,,山西省水文局,,c,
南庄,30925300,子牙河山区,忻州,滹沱河,,降水,定襄县南庄,113,14,,38,28,,山西省水文局,,c,
东凌井,30925350,子牙河山区,太原,乌河,,降水,阳曲县东凌井村,112,56,,38,03,,山西省水文局,,c,
西烟,30925400,子牙河山区,阳泉,乌河,,降水,盂县西烟村,113,04,,38,11,,山西省水文局,,c,
郑沟,30925450,子牙河山区,阳泉,乌河,,降水,盂县郑沟村,113,13,,38,15,,山西省水文局,,c,
下王村,30925550,子牙河山区,阳泉,龙华河,,降水,盂县下王村,113,16,,38,09,,山西省水文局,,c,
田家庄,30925600,子牙河山区,阳泉,龙华河,,降水,盂县田家庄,113,23,,38,12,,山西省水文局,,c,
上社,30925650,子牙河山区,阳泉,龙华河,,降水,盂县上社村,113,21,,38,18,,山西省水文局,,c,
会里,30925750,子牙河山区,阳泉,龙华河,,降水,盂县会里村,113,21,,38,26,,山西省水文局,,c,
上石塘,30925800,子牙河山区,阳泉,檀山沟,,降水,盂县上石塘村,113,26,,38,21,,山西省水文局,,c,
芹泉,30927000,子牙河山区,晋中,桃河,,降水,寿阳县芹泉村,113,16,,37,52,,山西省水文局,,c,
测石,30927300,子牙河山区,阳泉,桃河,,降水,阳泉市测石村,113,24,,37,51,,山西省水文局,,c,
吴家掌,30927450,子牙河山区,阳泉,桃河,,降水,阳泉市吴家掌村,113,28,,37,56,,山西省水文局,,c,
阳泉,30927550,子牙河山区,阳泉,桃河,,降水,阳泉市辛兴村,113,35,,37,52,,山西省水文局,,c,
平定,30927700,子牙河山区,阳泉,桃河,,降水,平定县碾子沟村,113,35,,37,50,,山西省水文局,,c,
南阳胜,30927750,子牙河山区,阳泉,阳胜河,,降水,平定县南阳胜村,113,35,,37,43,,山西省水文局,,c,
石门口,30927800,子牙河山区,阳泉,阳胜河,,降水,平定县石门口村,113,45,,37,47,,山西省水文局,,c,
东木口,30927900,子牙河山区,阳泉,阴山河,,降水,盂县东木口村,113,35,,38,11,,山西省水文局,,c,
盂县,30927950,子牙河山区,阳泉,香水河,,降水,盂县红崖头北坪,113,25,,38,04,,山西省气象局,,c,
岔口,30928150,子牙河山区,阳泉,岔口河,,降水,平定县岔口村,113,43,,38,02,,山西省水文局,,c,
李阳,30928350,子牙河山区,晋中,松溪河,,降水,和顺县李阳村,113,38,,37,24,,山西省水文局,,c,
楼坪,30928600,子牙河山区,晋中,赵壁河,,降水,昔阳县楼坪村,113,47,,37,25,,山西省水文局,,c,
民安,30928750,子牙河山区,晋中,杨照河,,降水,昔阳县民安村,113,56,,37,32,,山西省水文局,,c,
口上,30928800,子牙河山区,晋中,松溪河,,降水,昔阳县口上村,114,14,,37,38,,山西省水文局,,c,
东回,30929000,子牙河山区,阳泉,岭南河,,降水,平定县东回村,113,53,,37,47,,山西省水文局,,c,
正定,30929800,子牙河平原, 石家庄,滹沱河,,降水,正定县城关镇太平庄                              ,114,35,,38,08,,河北省气象局,,c,
藁城,30929950,子牙河平原, 石家庄,滹沱河,,降水,藁城县                                          ,114,49,,38,02,,河北省气象局,,c,
北中山,30930000,子牙河平原, 石家庄,滹沱河,,降水,深泽县城关镇北中山村                            ,115,11,,38,11,,河北省水文局,,c,
东武仕水库,30930350,子牙河平原, 邯郸,滏阳河,,降水,磁县下庄店乡东武仕村                            ,114,20,,36,24,,河北省水文局,,c,
磁县,30930400,子牙河平原, 邯郸,滏阳河,,降水,磁县城关镇五里铺                                ,114,23,,36,21,,河北省气象局,,c,
木鼻,30930550,子牙河平原, 邯郸,牤牛河,,降水,邯郸市马头镇木鼻村                              ,114,26,,36,29,,河北省水文局,,c,
张庄桥,30930600,子牙河平原, 邯郸,滏阳河,,降水,邯郸市马庄乡张庄桥村                            ,114,29,,36,34,,河北省水文局,,c,
莲花口,30930750,子牙河平原, 邯郸,滏阳河,,降水,永年县城关镇莲花口村                            ,114,44,,36,41,,河北省水文局,,c,
成安,30930950,子牙河平原, 邯郸,滏阳河,,降水,成安县城关镇                                    ,114,41,,36,26,,河北省气象局,,c,
鸡泽,30931400,子牙河平原, 邯郸,滏阳河,,降水,鸡泽县城关镇                                    ,114,53,,36,56,,河北省气象局,,c,
临洺关,30932000,子牙河平原, 邯郸,洺河,,降水,永年县临名关镇                                  ,114,29,,36,40,,河北省水文局,,c,
沙河,30933600,子牙河平原, 邢台,沙河,,降水,沙河市褡裢镇                                    ,114,30,,36,51,,河北省气象局,,c,
邢台,30933900,子牙河平原, 邢台,七里河,,降水,邢台市                                          ,114,30,,37,04,,河北省气象局,,c,
任县,30933950,子牙河平原, 邢台,牛尾河,,降水,任县城关镇                                      ,114,41,,37,08,,河北省水文局,,c,
马河水库,30934350,子牙河平原, 邢台,小马河,,降水,内邱县马河水库                           ,114,22,,37,18,,河北省水文局,,c,
邢家湾,30934550,子牙河平原, 邢台,北澧河,,降水,任县邢家湾乡邢家湾村                            ,114,49,,37,16,,河北省水文局,,c,
隆尧,30935250,子牙河平原, 邢台,泜河,,降水,隆尧县城关镇                                    ,114,46,,37,21,,河北省气象局,,c,
高邑,30935350,子牙河平原, 石家庄,泲河,,降水,高邑县城关镇                                    ,114,38,,37,36,,河北省气象局,,c,
柏乡,30935500,子牙河平原, 邢台,午河,,降水,柏乡县城关镇                                    ,114,41,,37,30,,河北省气象局,,c,
徐家河,30935550,子牙河平原, 邢台,宁晋泊,,降水,宁晋县徐家河乡徐家河村                          ,114,55,,37,28,,河北省水文局,,c,
元氏,30935800,子牙河平原, 石家庄,槐河,,降水,元氏县城关镇                                    ,114,30,,37,45,,河北省气象局,,c,
马村,30935850,子牙河平原, 石家庄,槐河,,降水,高邑县中韩乡马村                                ,114,37,,37,39,,河北省水文局,,c,
南佐,30935950,子牙河平原, 石家庄,北沙河,,降水,元氏县南佐镇                                    ,114,21,,37,50,,河北省水文局,,c,
八一水库,30936150,子牙河平原, 石家庄,猪泷河,,降水,元氏县洋村乡八一水库                            ,114,24,,37,49,,河北省水文局,,c,
石家庄,30936250,子牙河平原, 石家庄,洨河,,降水,石家庄市                                        ,114,29,,38,03,,河北省气象局,,c,
栾城,30936300,子牙河平原, 石家庄,洨河,,降水,栾城县城关镇                                    ,114,39,,37,53,,河北省气象局,,c,
赵县,30936400,子牙河平原, 石家庄,洨河,,降水,赵县城关镇                                      ,114,46,,37,45,,河北省气象局,,c,
宁晋,30936500,子牙河平原, 邢台,交河,,降水,宁晋县城关镇                                    ,114,56,,37,37,,河北省气象局,,c,
艾辛庄,30936700,子牙河平原, 邢台,滏阳河,,降水,宁晋县艾辛庄乡北官庄                            ,115,04,,37,31,,河北省水文局,,c,
晋县,30936850,子牙河平原, 邢台,滏阳河,,降水,晋县城关镇                                      ,115,02,,38,02,,河北省气象局,,c,
南白滩,30936900,子牙河平原, 邢台,滏阳河,,降水,晋县南白滩乡南白滩村                            ,115,10,,38,00,,河北省水文局,,c,
辛集,30936950,子牙河平原, 石家庄,滏阳河,,降水,辛集市                                          ,115,13,,37,54,,河北省气象局,,c,
南智邱,30937000,子牙河平原, 石家庄,滏阳河,,降水,辛集市南智邱乡南智邱村                          ,115,14,,37,45,,河北省水文局,,c,
张古庄,30937050,子牙河平原, 石家庄,滏阳河,,降水,辛集市张古庄乡张古庄                            ,115,17,,38,03,,河北省水文局,,c,
衡水,30937250,子牙河平原, 衡水,滏阳河,,降水,衡水市东门口乡大西头村                          ,115,43,,37,45,,河北省水文局,,c,
试验场,30937300,子牙河平原, 衡水,滏阳河,,降水,衡水市赵圈镇冯村                                ,115,30,,37,45,,河北省水文局,,c,
深县,30937700,子牙河平原, 衡水,滏阳河,,降水,深县城关镇                                      ,115,33,,38,00,,河北省水文局,,c,
小范,30937850,子牙河平原, 衡水,滏阳河,,降水,武强县小范镇                                    ,115,59,,38,03,,河北省水文局,,c,
安平,30938100,子牙河平原, 衡水,滏阳河,,降水,安平县城关镇                                    ,115,29,,38,13,,河北省水文局,,c,
饶阳,30938150,子牙河平原, 衡水,滏阳河,,降水,饶阳县城关镇                                    ,115,46,,38,14,,河北省水文局,,c,
内邱,30934500,子牙河平原, 邢台,李阳河,,降水,内邱县城关镇                                    ,114,32,,37,18,,河北省气象局,,c,
刘家庄,31030200,漳卫河山区, 邯郸,清漳河,,降水,涉县石门乡新桥村                                ,113,31,,36,45,,河北省水文局,,c,
偏城,31030250,漳卫河山区, 邯郸,清漳河,,降水,涉县偏城乡偏城村                                ,113,40,,36,45,,河北省水文局,,c,
涉县,31030300,漳卫河山区, 邯郸,清漳河,,降水,涉县城关镇                                      ,113,40,,36,34,,河北省气象局,,c,
匡门口,31030400,漳卫河山区, 邯郸,清漳河,,降水,涉县西达镇匡门口村                              ,113,47,,36,27,,河北省水文局,,c,
郝赵,31030650,漳卫河山区, 邯郸,清漳河,,降水,涉县关防乡郝赵村                                ,113,52,,36,29,,河北省水文局,,c,
白土,31030750,漳卫河山区, 邯郸,漳河,,降水,磁县白土乡白土村                                ,114,04,,36,25,,河北省水文局,,c,
观台,31030800,漳卫河山区, 邯郸,漳河,,降水,磁县都党乡冶子村                                ,114,05,,36,20,,河北省水文局,,c,
南岭,31020050,漳卫河山区,晋城,沙河,,降水,晋城县南岭村,113,10,,35,29,,山西省水文局,,c,
古郊,31020700,漳卫河山区,晋城,峪河,,降水,陵川县古郊村,113,30,,35,42,,山西省水文局,,c,
西石门,31020750,漳卫河山区,晋城,峪河,,降水,陵川县横水村,113,23,,35,37,,河南省水文局,,c,
琵琶河,31020850,漳卫河山区,晋城,峪河,,降水,陵川县琵琶河村,113,19,,35,32,,河南省水文局,,c,
黄松背,31022600,漳卫河山区,晋城,香磨河,,降水,陵川县黄松背村,113,26,,35,47,,山西省水文局,,c,
塔店,31023100,漳卫河山区,长治,郊沟河,,降水,壶关县塔店村,113,21,,35,55,,山西省水文局,,c,
桥上,31023250,漳卫河山区,长治,淅河,,降水,壶关县桥上村,113,34,,35,55,,山西省水文局,,c,
荫城,31025700,漳卫河山区,长治,荫城河,,降水,长治县荫城镇,113,07,,35,57,,山西省水文局,,c,
良坪,31025800,漳卫河山区,长治,浊漳河南支,,降水,长子县良坪村,112,39,,36,05,,山西省水文局,,c,
长子,31026000,漳卫河山区,长治,雍河,,降水,长子县城关中学,112,53,,36,07,,山西省水文局,,c,
西范,31026050,漳卫河山区,长治,小丹河,,降水,长子县西范村,112,52,,35,59,,山西省水文局,,c,
西丰宜,31026100,漳卫河山区,长治,岚水河,,降水,屯留县丰宜村,112,43,,36,14,,山西省水文局,,c,
长治,31026250,漳卫河山区,长治,石子河,,降水,长治市北门外,113,07,,36,12,,山西省气象局,,c,
中村,31026350,漳卫河山区,长治,庶纪河,,降水,屯留县中村,112,33,,36,25,,山西省水文局,,c,
北张店,31026500,漳卫河山区,长治,绛河,,降水,屯留县北张店村,112,37,,36,21,,山西省水文局,,c,
西河北,31026700,漳卫河山区,长治,绛河,,降水,屯留县西河北村,112,54,,36,20,,山西省水文局,,c,
漳源,31026800,漳卫河山区,长治,西河,,降水,沁县漳源村,112,37,,36,52,,山西省水文局,,c,
沁县,31026850,漳卫河山区,长治,浊漳河西支,,降水,沁县城关北,112,41,,36,45,,山西省气象局,,c,
尧山,31026900,漳卫河山区,长治,迎春河,,降水,沁县尧山村,112,34,,36,43,,山西省水文局,,c,
故县,31027100,漳卫河山区,长治,白玉河,,降水,沁县故县镇,112,37,,36,36,,山西省水文局,,c,
后湾水库,31027200,漳卫河山区,长治,浊漳河西支,,降水,襄垣县后湾村,112,49,,36,33,,山西省水文局,,c,
阎村,31027300,漳卫河山区,长治,淤泥河,,降水,襄垣县阎村,112,57,,36,25,,山西省水文局,,c,
襄垣,31027350,漳卫河山区,长治,浊漳河南支,,降水,襄垣县张家庄,113,02,,36,31,,山西省气象局,,c,
新庄,31027450,漳卫河山区,晋中,官上河,,降水,榆社县新庄,112,53,,37,17,,山西省水文局,,c,
社城,31027500,漳卫河山区,晋中,榆社河,,降水,榆社县社城村,112,57,,37,12,,山西省水文局,,c,
石栈道,31027700,漳卫河山区,晋中,榆社河,,降水,榆社县石栈道,112,58,,37,05,,山西省水文局,,c,
红崖头,31027750,漳卫河山区,晋中,东河,,降水,榆社县红崖头村,113,06,,37,07,,山西省水文局,,c,
小马兰,31027950,漳卫河山区,晋中,云簇河,,降水,榆社县小马兰村,112,49,,37,04,,山西省水文局,,c,
郭郊,31028000,漳卫河山区,晋中,南屯河,,降水,榆社县郭郊村,113,03,,36,57,,山西省水文局,,c,
权店,31028100,漳卫河山区,长治,湟河,,降水,武乡县权店村,112,35,,36,58,,山西省水文局,,c,
武乡,31028200,漳卫河山区,长治,湟河,,降水,武乡县东关,112,51,,36,50,,山西省气象局,,c,
蟠龙,31028300,漳卫河山区,长治,洪水河,,降水,武乡县蟠龙村,113,08,,36,48,,山西省水文局,,c,
史北,31028350,漳卫河山区,长治,史水河,,降水,襄垣县史北村,112,54,,36,41,,山西省水文局,,c,
西邯郸,31028400,漳卫河山区,长治,浊漳河北支,,降水,襄垣县西邯郸村,113,05,,36,40,,山西省水文局,,c,
石梁,31028500,漳卫河山区,长治,浊漳河,,降水,潞城县石梁村,113,19,,36,28,,山西省水文局,,c,
东阳关,31028600,漳卫河山区,长治,小东河,,降水,黎城县东阳关村,113,28,,36,33,,山西省水文局,,c,
五里后,31028700,漳卫河山区,长治,南大河,,降水,潞城县五里后村,113,16,,36,20,,山西省水文局,,c,
龙镇,31028750,漳卫河山区,长治,南河,,降水,平顺县龙镇村,113,25,,36,04,,山西省水文局,,c,
平顺,31028850,漳卫河山区,长治,南河,,降水,平顺县东仓寺,113,25,,36,12,,山西省气象局,,c,
辛安,31028900,漳卫河山区,长治,浊漳河,,降水,潞城县辛安村,113,26,,36,21,,山西省水文局,,c,
石城,31028950,漳卫河山区,长治,浊漳河,,降水,平顺县石城村,113,38,,36,22,,山西省水文局,,c,
寺头,31029150,漳卫河山区,晋中,寺头河,,降水,平顺县寺头村,113,33,,36,09,,山西省水文局,,c,
漳漕,31029250,漳卫河山区,晋中,清漳河东支,,降水,昔阳县漳漕村,113,31,,37,34,,山西省水文局,,c,
前高窑,31029300,漳卫河山区,晋中,清漳河东支,,降水,和顺县前高窑,113,24,,37,25,,山西省水文局,,c,
蔡家庄,31029550,漳卫河山区,晋中,清漳河东支,,降水,和顺县蔡家庄,113,36,,37,19,,山西省水文局,,c,
松烟,31029600,漳卫河山区,晋中,清漳河东支,,降水,和顺县松烟村,113,42,,37,12,,山西省水文局,,c,
仙人坪,31029700,漳卫河山区,晋中,清漳河东支,,降水,左权县仙人坪村,113,33,,37,02,,山西省水文局,,c,
横岭,31029750,漳卫河山区,晋中,清漳河西支,,降水,和顺县横岭村,113,10,,37,18,,山西省水文局,,c,
石匣,31029900,漳卫河山区,晋中,清漳河西支,,降水,左权县石匣村,113,17,,37,07,,山西省水文局,,c,
左权,31029950,漳卫河山区,晋中,清漳河西支,,降水,左权县西营盘,113,23,,37,06,,山西省气象局,,c,
大佛头,31030000,漳卫河山区,晋中,枯河,,降水,和顺县大佛头村,113,26,,37,15,,山西省水文局,,c,
下交漳,31030050,漳卫河山区,晋中,清漳河,,降水,左权县下交漳村,113,36,,36,54,,山西省水文局,,c,
申家峧,31030100,漳卫河山区,晋中,桐峪河,,降水,左权县申家峧村,113,23,,36,56,,山西省水文局,,c,
西井,31030150,漳卫河山区,长治,源泉河,,降水,黎城县西井村,113,24,,36,45,,山西省水文局,,c,
玄坛庙,31020150,漳卫河山区,焦作,沙河,,降水,博爱县寨豁乡玄坛庙村,113,3,,35,19,,河南省水文局,,c,
焦作,31020300,漳卫河山区,焦作,沙河,,降水,焦作市气象局,113,10,,35,15,,河南省水文局,,c,
田坪,31020350,漳卫河山区,焦作,山门河,,降水,修武县西村乡田坪村,113,15,,35,20,,河南省水文局,,c,
西村,31020400,漳卫河山区,焦作,山门河,,降水,修武县西村乡西村,113,17,,35,19,,河南省水文局,,c,
孟泉,31020450,漳卫河山区,焦作,山门河,,降水,修武县西村乡孟泉村,113,20,,35,21,,河南省水文局,,c,
金岭坡,31020600,漳卫河山区,焦作,纸坊沟,,降水,修武县西村乡金岭坡村,113,18,,35,25,,河南省水文局,,c,
平甸,31020900,漳卫河山区,新乡,峪河,,降水,辉县市薄壁镇平甸村,113,26,,35,31,,河南省水文局,,c,
西寨山,31020950,漳卫河山区,新乡,峪河,,降水,辉县市薄壁镇西寨山村,113,27,,35,28,,河南省水文局,,c,
宝泉（原峪河口）,31021000,漳卫河山区,焦作,峪河,,降水,辉县市薄壁镇铁匠庄,113,26,,35,26,,河南省水文局,,c,
官山,31021100,漳卫河山区,新乡,马头口河,,降水,辉县市上八里乡官山村,113,35,,35,3,,河南省水文局,,c,
白草岗,31021150,漳卫河山区,新乡,马头口河,,降水,辉县市冀屯乡白草岗村,113,35,,35,26,,河南省水文局,,c,
石门,31021350,漳卫河山区,新乡,石门河,,降水,辉县市上八里乡石门水库,113,35,,35,34,,河南省水文局,,c,
黄水口,31021450,漳卫河山区,新乡,黄水河,,降水,辉县市黄水乡河西村,113,42,,35,34,,河南省水文局,,c,
狮豹头,31022200,漳卫河山区,新乡,沧河,,降水,卫辉市狮豹头乡狮豹头水库,114,0,,35,4,,河南省水文局,,c,
塔岗,31022250,漳卫河山区,新乡,沧河,,降水,卫辉市狮豹头乡塔岗水库,114,2,,35,35,,河南省水文局,,c,
前嘴,31022300,漳卫河山区,鹤壁,思德河,,降水,淇县黄洞乡前觜,114,7,,35,43,,河南省水文局,,c,
南寨,31022850,漳卫河山区,新乡,淇河,,降水,辉县市南寨乡南寨村,113,40,,35,48,,河南省水文局,,c,
要街,31022900,漳卫河山区,新乡,淇河,,降水,辉县市西平罗乡要街水库,113,45,,35,46,,河南省水文局,,c,
临淇,31022950,漳卫河山区,安阳,淇河,,降水,林州市临淇镇,113,53,,35,46,,河南省水文局,,c,
茶店,31023050,漳卫河山区,安阳,湘河,,降水,林州市茶店乡茶店村,113,49,,35,5,,河南省水文局,,c,
弓上,31023300,漳卫河山区,安阳,淅河,,降水,林州市合涧乡弓上村,113,40,,35,56,,河南省水文局,,c,
土圈,31023500,漳卫河山区,安阳,淇河,,降水,林州市五龙镇刁公岩,113,58,,35,51,,河南省水文局,,c,
盘石头,31023550,漳卫河山区,鹤壁,淇河,,降水,鹤壁市大河涧乡弓家庄,114,4,,35,51,,河南省水文局,,c,
新村,31023650,漳卫河山区,鹤壁,淇河,,降水,鹤壁市庞村镇新村,114,14,,35,45,,河南省水文局,,c,
鹤壁,31024150,漳卫河山区,鹤壁,汤河,,降水,鹤壁市鹿楼乡张庄村,114,11,,35,54,,河南省水文局,,c,
马投涧,31024400,漳卫河山区,安阳,洪水河,,降水,安阳县马投涧乡马投涧,114,15,,36,1,,河南省水文局,,c,
姚村,31024500,漳卫河山区,安阳,安阳河,,降水,林州市姚村镇姚村,113,48,,36,11,,河南省水文局,,c,
林县,31024650,漳卫河山区,安阳,安阳河,,降水,林州市城关镇,113,49,,36,4,,河南省水文局,,c,
横水,31024700,漳卫河山区,安阳,安阳河,,降水,林州市横水镇东横水村,113,55,,36,3,,河南省水文局,,c,
东姚,31024800,漳卫河山区,安阳,安阳河,,降水,林州市东姚镇东姚村,113,57,,35,55,,河南省水文局,,c,
小南海,31024900,漳卫河山区,安阳,安阳河,,降水,安阳县善应乡庄货村,114,6,,36,2,,河南省水文局,,c,
河顺,31025000,漳卫河山区,安阳,粉红江,,降水,林州市河顺镇河顺,113,55,,36,1,,河南省水文局,,c,
李珍,31025050,漳卫河山区,安阳,粉红江,,降水,安阳县铜冶乡李珍,114,4,,36,14,,河南省水文局,,c,
天桥断,31029000,漳卫河山区,安阳,浊漳河,,降水,林州市任村镇穆家庄,113,47,,36,21,,河南省水文局,,c,
任村,31029200,漳卫河山区,安阳,露水河,,降水,林州市任村镇任村,113,48,,36,17,,河南省水文局,,c,
蔡小庄,31031300,漳卫河平原, 邯郸,漳河,,降水,魏县野胡拐乡蔡小庄                              ,114,56,,36,17,,河北省水文局,,c,
魏县,31031400,漳卫河平原, 邯郸,漳河,,降水,魏县魏镇                                        ,114,56,,36,22,,河北省气象局,,c,
大名,31031450,漳卫河平原, 邯郸,卫河,,降水,大名县城关镇                                    ,115,08,,36,17,,河北省气象局,,c,
小河子,31024200,漳卫河平原,安阳,汤河,,降水,汤阴县韩庄乡小河子村,114,17,,35,55,,河南省水文局,,c,
博爱,31020200,漳卫河平原,焦作,沙河,,降水,博爱县气象局,113,2,,35,12,,河南省水文局,,c,
修武,31020550,漳卫河平原,焦作,新河,,降水,修武县五里源乡大堤屯村,113,27,,35,16,,河南省水文局,,c,
获嘉,31021050,漳卫河平原,新乡,运粮河,,降水,获嘉县气象局,113,40,,35,16,,河南省水文局,,c,
辉县,31021650,漳卫河平原,新乡,百泉河,,降水,辉县市气象局,113,48,,35,26,,河南省水文局,,c,
合河,31021700,漳卫河平原,新乡,卫河,,降水,新乡县合河乡后贾村,113,45,,35,21,,河南省水文局,,c,
何营,31021840,漳卫河平原,新乡,人民胜利渠,,降水,武陟县詹店镇何营,113,35,,35,1,,河南省水文局,,c,
忠义,31021850,漳卫河平原,新乡,人民胜利渠,,降水,获嘉县冯庄乡冯庄村,113,39,,35,5,,河南省水文局,,c,
小吉,31021900,漳卫河平原,新乡,人民胜利渠,,降水,新乡县小吉镇小吉村,113,45,,35,12,,河南省水文局,,c,
汲县,31022050,漳卫河平原,新乡,卫河,,降水,卫辉市城郊乡纸坊村,114,4,,35,24,,河南省水文局,,c,
朝歌,31022400,漳卫河平原,鹤壁,思德河,,降水,淇县城关镇,114,12,,35,36,,河南省水文局,,c,
浚县,,漳卫河平原,鹤壁,卫河,,降水,浚县城关镇,114,33,,35,41,,河南省气象局,,c,
淇门,31023700,漳卫河平原,鹤壁,卫河,,降水,浚县新镇乡小李庄,114,18,,35,30,,河南省水文局,,c,
道口,31023850,漳卫河平原,安阳,北干河,,降水,滑县道口镇,114,31,,35,35,,河南省水文局,,c,
