OID_,NAME_PY,NAME_CH,NAME_FT,PRES_LOC,TYPE_PY,TYPE_CH,LEV_RANK,BEG_YR,BEG_RULE,END_YR,END_RULE,DYN_PY,DYN_CH,LEV1_PY,LEV1_CH,NOTE_ID,OBJ_TYPE,SYS_ID,GEO_SRC,COMPILER,GEOCOMP,CHECKER,ENT_DATE,X_COORD,Y_COORD,AREA
,Qianzhou Ting,乾州厅,乾州廳, ,Zhiliting,直隶厅,3,1911,9,1911,9,Qingchao,清朝,Hunan,湖南,0.000000000000000,POLYGON,1945,FROM_FD,孟刚,孟刚, ,2002/10/11,109.778369999999995,28.312840000000001,1058.3399658
,Fenghuang Ting,凤凰厅,鳳凰廳, ,Zhiliting,直隶厅,3,1911,9,1911,9,Qingchao,清朝,Hunan,湖南,0.000000000000000,POLYGON,1935,FROM_FD,孟刚,孟刚, ,2002/10/11,109.545810000000003,28.027229999999999,1741.1300049
,Huangzhou Ting,晃州厅,晃州廳, ,Zhiliting,直隶厅,3,1911,9,1911,9,Qingchao,清朝,Hunan,湖南,0.000000000000000,POLYGON,1933,FROM_FD,孟刚,孟刚, ,2002/10/11,109.112250000000003,27.227100000000000,1660.6700439
,Fogang Ting,佛冈厅,佛岡廳, ,Zhiliting,直隶厅,3,1911,9,1911,9,Qingchao,清朝,Guangdong,广东,0.000000000000000,POLYGON,2056,FROM_FD,孟刚,孟刚, ,2002/10/31,113.568389999999994,23.930540000000001,923.6760254
,Lianshan Ting,连山厅,連山廳, ,Zhiliting,直隶厅,3,1911,9,1911,9,Qingchao,清朝,Guangdong,广东,0.000000000000000,POLYGON,2053,FROM_FD,孟刚,孟刚, ,2002/10/31,112.200789999999998,24.554099999999998,2352.5600586
,Li Zhou,澧州,澧州, ,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Hunan,湖南,0.000000000000000,POLYGON,1943,FROM_FD,满志敏,满志敏, ,2002/10/11,111.185710000000000,29.502710000000000,14948.7998047
,Changde Fu,常德府,常德府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Hunan,湖南,0.000000000000000,POLYGON,1942,FROM_FD,满志敏,满志敏, ,2002/10/11,111.428410000000000,28.903479999999998,11972.2998047
,Yuezhou Fu,岳州府,岳州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Hunan,湖南,0.000000000000000,POLYGON,1948,FROM_FD,满志敏,满志敏, ,2002/10/11,113.179890000000000,29.113209999999999,12279.9003906
,Changsha Fu,长沙府,長沙府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Hunan,湖南,0.000000000000000,POLYGON,1941,FROM_FD,满志敏,满志敏, ,2002/10/11,112.486620000000002,27.838320000000000,42276.0000000
,Baoqing Fu,宝庆府,寶慶府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Hunan,湖南,0.000000000000000,POLYGON,1936,FROM_FD,满志敏,满志敏, ,2002/10/11,111.023820000000001,27.099720000000001,22585.6992188
