府州县名
台湾府
泉州府，辖晋江、惠安、南安、安溪、同安五县。

福州府
邵武府
厦门

襄阳府襄阳县
襄阳府襄阳县
襄阳府襄阳县
襄阳府南漳县
襄阳府枣阳县
襄阳府枣阳县
襄阳府宜城县
襄阳府光化县
襄阳府谷城县
汉阳府汉阳县
武昌府武昌城
武昌府武昌城
康熙安陆府沔阳州沔城（乾隆属汉阳府）
康熙安陆府沔阳州沔城（乾隆属汉阳府）
康熙安陆府沔阳州（乾隆属汉阳府）
康熙安陆府沔阳州（乾隆属汉阳府）
康熙安陆府沔阳州（乾隆属汉阳府）
康熙安陆府沔阳州（乾隆属汉阳府）
康熙安陆府沔阳州（乾隆属汉阳府）
康熙安陆府沔阳州（乾隆属汉阳府）
康熙安陆府沔阳州（乾隆属汉阳府）
康熙安陆府沔阳州（乾隆属汉阳府）
康熙安陆府沔阳州（乾隆属汉阳府）
荆州府
安陆府潜江
荆州府江陵县
安陆府钟祥县
荆州府松滋县
安陆府天门县
郧阳府郧西县
郧阳府郧西县
郧阳府郧西县
郧阳府郧县
郧阳府房县
郧阳府竹溪县
宜昌府东湖县

太原府阳曲县
大同府
大同府
太原府
潞安府
潞安府
泽州府
平阳府

广州府新安县
广州府新安县
广州府
广州府
广州府
广州府
广州府
广州府
广州府
广州府
广州府
肇庆府端州
肇庆府端州
广州府南海县佛山镇
琼州府崖州（光绪后崖州为直隶州）
琼州府崖州（光绪后崖州为直隶州）
琼州府崖州（光绪后崖州为直隶州）
琼州府崖州（光绪后崖州为直隶州）
琼州府崖州（光绪后崖州为直隶州）

杭州府杭州城
杭州府杭州城
杭州府杭州城
杭州府杭州城
杭州府杭州城
杭州府杭州城
杭州府杭州城
杭州府杭州城
宁波府鄞县
温州府城
嘉兴府
处州府丽水县
衢州府西安县

江宁府
江宁府
江宁府
江宁府
江宁府
江宁府
江宁府
江宁府
扬州府
扬州府（江都县？邵伯镇）
淮安府（山阳县？）
海州
扬州府高邮州
扬州府高邮州
镇江府丹徒县
镇江府丹徒县
镇江府丹徒县
镇江府丹徒县
苏州府
苏州府
苏州府
苏州府
常州府
松江府上海县
松江府上海县
松江府上海县
松江府娄县
松江府上海县
松江府青浦县
松江府青浦县
松江府上海县
松江府上海县

三姓副都统（光绪八年1882设三姓厅，三十一年设依兰府）
阿勒楚喀副都统
阿勒楚喀副都统
阿勒楚喀副都统
阿勒楚喀副都统（光绪八年(1882)置双城厅，宣统元年(1909)升为双城府。）
三姓副都统富克锦城，光绪三十一年（1905年）后属临江府
桦川县
阿勒楚喀副都统
阿勒楚喀副都统
吉林副都统长春厅（光绪十四年升为长春府）
吉林副都统长春厅（光绪十四年升为长春府）
吉林副都统长春厅（光绪十四年升为长春府）
吉林副都统长春厅（光绪十四年升为长春府）
吉林副都统长春厅（光绪十四年升为长春府）
吉林副都统长春厅（光绪十四年升为长春府）
吉林副都统长春厅（光绪十四年升为长春府）
吉林府双阳县
新城府榆树县
新城府榆树县
新城府榆树县
吉林将军属柳条边新边下九台
吉林将军属柳条边新边下九台
吉林将军属柳条边新边下九台
吉林将军属柳条边新边下九台
吉林将军属柳条边新边下九台
吉林将军属柳条边新边下九台
吉林将军属柳条边新边下九台
吉林将军属柳条边新边下九台
乾隆十二年(1747年)置吉林直隶厅，光绪七年(1881年)改吉林厅为府。
乾隆十二年(1747年)置吉林直隶厅，光绪七年(1882年)改吉林厅为府。
乾隆十二年(1747年)置吉林直隶厅，光绪七年(1883年)改吉林厅为府。
乾隆十二年(1747年)置吉林直隶厅，光绪七年(1884年)改吉林厅为府。
乾隆十二年(1747年)置吉林直隶厅，光绪七年(1885年)改吉林厅为府。
乾隆十二年(1747年)置吉林直隶厅，光绪七年(1886年)改吉林厅为府。
乾隆十二年(1747年)置吉林直隶厅，光绪七年(1887年)改吉林厅为府。
乾隆十二年(1747年)置吉林直隶厅，光绪七年(1887年)改吉林厅为府。
乾隆十二年(1747年)置吉林直隶厅，光绪七年(1887年)改吉林厅为府。
伊通州梨树县
吉林府伊通州
吉林府伊通州
吉林府伊通州
吉林府伊通州
吉林府伊通州
新城府
宁古塔副都统，１９０９年改为珲春厅
吉林府敦化县

龙江府ｏｒ齐齐哈尔副都统？
宁古塔副都统（后改绥芬厅、绥芬府、宁安府）
齐齐哈尔副都统呼兰
龙江府ｏｒ齐齐哈尔副都统？
呼兰厅（光绪三十一年设巴彦州）
宁古塔副都统（后改绥芬厅、绥芬府、宁安府）
"绥化厅（三十年光绪十二月 (1905.1) 升为绥化府。

"
瑷珲城
呼兰府兰西县
光绪三十年设海伦厅，三十四年为海伦府
安达厅

昌图府辽源州
昌图府辽源州
海龙府
兴京府通化县
兴京府通化县
海龙府柳河县
辉南厅
辉南厅
昌图府
兴京府临江县
洮南府
海龙府
奉天府承德县
奉天府承德县
奉天府承德县
法库厅
奉天府岫岩州，光绪三十二年改为庄河厅
奉天府海城县
奉天府海城县
奉天府海城县
奉天府新民厅
奉天府岫岩厅，光绪二年(1876年)改置岫岩州。
奉天府本溪县
奉天府辽阳州火连寨镇
奉天府岫岩厅，光绪二年(1876年)改置岫岩州；光绪二年(1876年)置安东县。
凤凰厅
锦州府
锦州府
锦州府
新民屯，光绪二十八年后属新民府
奉天府辽中县
锦州府义州
锦州府义州
锦州府义州
奉天府，宣统元年改为营口直隶厅
奉天府，宣统元年改为营口直隶厅
奉天府盖平县
奉天府盖平县
奉天府，宣统元年改为营口直隶厅
奉天府，宣统元年改为营口直隶厅
锦州府
奉天府复州
奉天府辽阳州

安庆府
安庆府
安庆府
安庆府
安庆府
安庆府
安庆府
安庆府
凤阳府寿州
凤阳府寿州
凤阳府寿州
凤阳府寿州
凤阳府寿州
凤阳府寿州
凤阳府寿州
凤阳府寿州
凤阳府寿州
